"nombre";"descripcion";"precio_unitario";"marca";"categoria"
"AJUAR KUKULI RABIT TALLA 1 AL 2BB";;"52.00";"KUKULI";"AJUAR HILO"
"POLO ANGELA MODELO PERLA TALLA 4 AL 6";;"35.00";"ANGELA";"POLOS"
"POLO HARDY MODELO REX TALLA 2 AL 10";;"35.00";"HARDY";"POLOS"
"VESTIDO CHALICEN MODELO ROSA TALLA 10 AL 12";;"45.00";"CHALICEN";"VESTIDOS TELA"
"POLO BABY MAX TABLA ÑO. T-4/10 C/RDO. M/C";;"35.00";"BABY MAX";"POLOS"
"SHORT PAPOTITOS ALGODON BB TALLA 1 AL 8";;"13.00";"PAPOTITOS";"SHORT ALGODON"
"PANATALON PAPOTITOS ALGODON NIÑO TALLA 4 AL 8";;"20.00";"PAPOTITOS";"PANTALON ALGODON"
"BERMUDA JEANS HARDY T-4/8";;"60.00";"HARDY";"BERMUDA JEANS"
"BERMUDA JEANS HARDY T-10/16";;"62.00";"HARDY";"BERMUDA JEANS"
"BVD PAPOTITOS T-1/8 ALG. PIMA ESTAMPADO";;"19.00";"PAPOTITOS";"BVD"
"BVD HARDY ALGODON NIÑO TALLA 4 AL 8";;"24.00";"HARDY";"BVD"
"BVD HARDY ALGODON NIÑO TALLA 10 - 12";;"25.00";"HARDY";"BVD"
"AJUAR WOOPY BB ";;"35.00";"WOOPY";"AJUAR ALGODON"
"AJUAR CUNITA ALGODON BB";;"35.00";"CUNITA";"AJUAR ALGODON"
"TOALLA WOOPY FELPA BB";;"43.00";"WOOPY";"TOALLA "
"BABERO BROCHE BB";;"7.00";"WOOPY";"BABERO"
"BODY M/C ESTAMPADO BB";;"14.00";"WOOPY";"BODY"
"CONJUNTO ALGODON RATONA (CAJA)";;"38.00";"WOOPY";"CONJUNTO"
"CONJUNTO ALGODON BB (CAJA) CONEJO";;"38.00";"WOOPY";"CONJUNTO"
"CONJUNTO DRILL BB (CAJA) CORBATA";;"80.00";"WOOPY";"CONJUNTO"
"CONJUNTO ALGODON BB (CAJA) CRUZADO";;"38.00";"WOOPY";"CONJUNTO"
