"tipo_documento";"numero_documento";"razon_social";"direccion";"correo";"nombre_contacto";"celular_contacto"
"6";"20472915051";"HARDY C&E";;;;
"6";"20555668888";"ANGELA SA";"LIMA";"LERO@L";;
"6";"20555555544";"CHALICEN SRL";"LIMA2";"KK@K";;
"6";"20507590323";"KUKULI- MANUFACTURAS KUKULI SAC";"CAL.GERONA NRO. 199 URB. HIGUERETA (ALT.CDRA 45 AV.AVIACION) LIMA - LIMA - SANTIAGO DE SURCO";;;
"6";"20424045277";"BABY MAX- BABY MAX SRL";"PRO.HUANUCO NRO. 1757 INT. 305 URB. EL PORVENIR (A MEDIA CUADRA DE PARQUE CANEPA) LIMA - LIMA - LA VICTORIA";"LERO@L";;
"6";"20424874141";"CHALICEN - CHALICEN SAC";"JR. LAS ALHUCEMAS NRO. 1650 (ALT. PARADERO 13 AV.LAS FLORES) LIMA - LIMA - SAN JUAN DE LURIGANCHO";"F@L";;
"6";"20515422821";"YOSHIRO - YOSHIRO SRL";"JR. NEVADO ALCOY NRO. 2770 URB. SANTA ELIZABETH II ETAPA (SEGUNDO PISO ALT.PARADERO 22 LAS FLORES) LIMA - LIMA - SAN JUAN DE LURIGANCHO";"ddd@ksjs";;
"6";"20604789223";"MUQUIS - MUQUIS CO.DISEÑO MODA Y COLOR S.A.C";"PRO.HUANUCO NRO. 1601 INT. 170 (CENTRO COMERCIAL PARQUE CANEPA) LIMA - LIMA - LA VICTORIA";"MU@FJFNF";;
"6";"20602319611";"MAYORAL - MAYORAL PERU S.A.C";"CAL.ENRIQUE PALACIOS NRO. 360 INT. 711 LIMA - LIMA - MIRAFLORES";"MAY@FFFMF";;
"6";"10749346430";"CHIQUITUNS - MORALES ZUÑIGA MILAGROS VALERIA";"LIMA";"CHIQUI@KJS";;
"6";"10428317993";"PIBEBE - SANCHEZ JARA MARITZA";"LIMA";"PI@DNNHD";;
"6";"10092990724";"ANGELA - GONZALES SANCHEZ ANGELICA";"LIMA";"ANG@MDND";;
"6";"20611468530";"KUATITOS - MANUFACTURAS KUATITOS E.I.R.L.";"JR. SAN CRISTOBAL NRO. 1580 INT. 211 (2DO PISO GALERIA TORRE DE SUCRE) LIMA - LIMA - LA VICTORIA";"FFF@KO";;
"6";"20259651671";"OBANDO - ROMARTEX SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA";"JR. LOS RUIBARBOS NRO. 126 URB. LOS JARDINES DE SAN JUAN LIMA - LIMA - SAN JUAN DE LURIGANCHO";"OBS@FFFF";;
"6";"10445405049";"RISMAR - RAMOS SUCSO SAMUEL";"LIMA";"RIS@NFBF";;
"6";"20607200387";"WALKIDS -INVERSIONES PAMER E.I.R.L.";"OTR.SECTOR 22 MZA. CN LOTE. 16 JUNTA DE POBLADORES POSESIONARIOS DEL SECTOR EL VALLE JICAMARCA ANEXO 22 LIMA - HUAROCHIRI - SAN ANTONIO";"WA@JFJ";;
"6";"20434441588";"LUPER -CREACIONES LUPER EIRL";"JR. LOS ZAFIROS NRO. 2334 APV JORGE BASADRE (PARADERO 17 DE AV. PROCERES) LIMA - LIMA - SAN JUAN DE LURIGANCHO";"FF@FF";;
"6";"20513707160";"DJ- D.J. INTERNATIONAL COMPANY SOCIEDAD ANONIMA CERRADA";"JR. ITALIA NRO. 1404 DPTO. 6B URB. SAN PABLO (PARALELA AV. ISABEL LA CATOLICA) LIMA - LIMA - LA VICTORIA";"HGG@FF";;
"6";"10277266101";"GMR CONFECCIONES - MERA SALAZAR DAMIAN";"LIMA";"FF@LI";;
"6";"10069477645";"CONFECCIONES CAÑITA - CARBAJAL SANCHEZ DANIEL AUGUSTO";"LIMA";"HHG@GG";;
"6";"20393017415";"BABY GIRAFFE CONFECCIONES SAC";"CAL.AURORA BOREAL NRO. 306 URB. LA ALBORADA LIMA - LIMA - SANTIAGO DE SURCO";"DD@VF";;
"6";"20553962481";"DOKY - MANUFACTURAS & NEGOCIOS DOKY PERU S.A.C.";"PJ. PEDRO VACCARI NRO. 187 URB. EL PORVENIR (ALT AV. PARINACOCHAS Y JR. SEBASTIAN B.) LIMA - LIMA - LA VICTORIA";"FD@HJG";;
"6";"10071623799";"B&J PREMIUN - ORDUÑA BRAVO PHAVEL GUILLERMO";"LIMA";"DFF@GF";;
"6";" 1043922531";"WOOPY - TTICA BOLAÑOS SILVERIO";"LIMA";"WOO@PY";;
"6";"20505440871";"CREACIONES YORYAN S.R.L";"JR PROLONGACION HUANUCO Nº1757 LA VICTORIA-LIMA";"YORY@N";"YORYAN";"073239165"
