"cod_venta";"cod_tipo_comprobante";"serie";"correlativo";"cliente";"observaciones";"fecha_venta";"importe_total_venta";"item";"producto";"fecha_vencimiento";"lote";"cantidad_item";"precio_venta_unitario"
"2";"03";"B002";"1";;NULL;"2024-01-15";"35.00";"1";"POLO ANGELA MODELO PERLA TALLA 4 AL 6";"0000-00-00";;"1";"35.00"
"3";"03";"B002";"2";;NULL;"2024-01-15";"90.00";"1";"VESTIDO CHALICEN MODELO ROSA TALLA 10 AL 12";"0000-00-00";;"2";"45.00"
"4";"03";"B002";"3";;NULL;"2024-01-15";"104.00";"1";"AJUAR KUKULI RABIT TALLA 1 AL 2BB";"0000-00-00";;"2";"52.00"
"5";"03";"B002";"4";;NULL;"2024-01-15";"70.00";"1";"POLO ANGELA MODELO PERLA TALLA 4 AL 6";"0000-00-00";;"2";"35.00"
"6";"00";NULL;NULL;;NULL;"2024-01-15";"97.00";"1";"VESTIDO CHALICEN MODELO ROSA TALLA 10 AL 12";"0000-00-00";;"1";"45.00"
"6";"00";NULL;NULL;;NULL;"2024-01-15";"97.00";"2";"AJUAR KUKULI RABIT TALLA 1 AL 2BB";"0000-00-00";;"1";"52.00"
"7";"00";NULL;NULL;"47291505";NULL;"2024-01-15";"140.00";"1";"POLO BABY MAX TABLA ÑO. T-4/10 C/RDO. M/C";"0000-00-00";;"4";"35.00"
"8";"03";"B002";"5";;NULL;"2024-01-16";"227.00";"1";"AJUAR KUKULI RABIT TALLA 1 AL 2BB";"0000-00-00";;"1";"52.00"
"8";"03";"B002";"5";;NULL;"2024-01-16";"227.00";"2";"POLO ANGELA MODELO PERLA TALLA 4 AL 6";"0000-00-00";;"2";"35.00"
"8";"03";"B002";"5";;NULL;"2024-01-16";"227.00";"3";"POLO BABY MAX TABLA ÑO. T-4/10 C/RDO. M/C";"0000-00-00";;"3";"35.00"
"9";"00";NULL;NULL;;NULL;"2024-01-16";"45.00";"1";"VESTIDO CHALICEN MODELO ROSA TALLA 10 AL 12";"0000-00-00";;"1";"45.00"
"10";"03";"B002";"6";;NULL;"2024-01-16";"45.00";"1";"VESTIDO CHALICEN MODELO ROSA TALLA 10 AL 12";"0000-00-00";;"1";"45.00"
"11";"03";"B002";"7";"47291505";NULL;"2024-01-16";"70.00";"1";"POLO HARDY MODELO REX TALLA 2 AL 10";"0000-00-00";;"1";"35.00"
"11";"03";"B002";"7";"47291505";NULL;"2024-01-16";"70.00";"2";"POLO ANGELA MODELO PERLA TALLA 4 AL 6";"0000-00-00";;"1";"35.00"
"12";"03";"B002";"8";"41202847";NULL;"2024-01-16";"99.00";"1";"SHORT PAPOTITOS ALGODON BB TALLA 1 AL 8";"0000-00-00";;"3";"13.00"
"12";"03";"B002";"8";"41202847";NULL;"2024-01-16";"99.00";"2";"PANATALON PAPOTITOS ALGODON NIÑO TALLA 4 AL 8";"0000-00-00";;"3";"20.00"
